quote,year,country,age,state,visa,occupation
"Many Chinese restaurants pay very low wages and exploit their employees, which is not good for their welfare.",2023,China,"22 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender)"
"The trial work system is a very evil system. It is completely exploitative and treats people as slaves.",2023,China,"36 years old",WA,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Fast food worker,Construction worker (including painter, other labourer) ,Professional (including academic and teaching)  or technical services"
"Australia is a country with good legal protection for workers, but sometimes only some temporary visa workers are not protected, the boss will bully these workers and their wages will not be guaranteed, and there is a lower probability of being hired, many of them are not as good as locals.",2023,China,"18 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Fast food worker,Delivery rider on bike"
"Studying in Australia is too difficult and too miserable. It is difficult to avoid being exploited on a temporary visa. This is the truth.",2015,China,"40 years old",TAS,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Retail/shop/sales worker (including convenience store or supermarket),Administration worker ,Charity collection/ leaflet distribution"
"There are too few job opportunities and fierce competition, which has led to an imbalance in market supply and demand. As a result, part-time wages for international students are generally lower than the minimum standard.",2023,China,"34 years old",NSW,"Student Visa (500)","Delivery rider on bike"
"In some areas, employers take it for granted that they pay international students less than the statutory hourly wage and pay them in cash because they generally believe that international students have ""poor English"" and ""low ability"".",2023,China,"27 years old",SA,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender)"
"Temporary visas are not treated fairly when looking for jobs. It is difficult to find a first job. The salary is low, the work is heavy, there are no holidays or rest, and no overtime.",2023,China,"20 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender)"
"It is extremely difficult for Chinese students to find part-time jobs, especially if they have no experience and have not worked long enough. They often get hourly wages below the minimum wage and no guarantees. From my own experience, temporary jobs are very difficult to find, the pay is very low, the work pressure is very high, and they are also psychologically oppressive. The jobs I have experienced are all very unpleasant jobs without contracts.",2024,China,"23 years old",NSW,"Student Visa (500)","Hospitality (waiter/food server/barrista/bartender),Fast food worker,Cleaner (private house)  ,Charity collection/ leaflet distribution"
"Working in Australia feels like very uninviting as an immigrant. The work environment could be more friendly. We are also working as hard as Australians do. We all are human. Every person should think twice when a person is demining another person.",2023,Bangladesh,"22 years old",VIC,"Student Visa (500)","Childcare centre worker"
"We as migrants feel that we have no rights. Especially against an Australian employer. They make you understand that you are worth less here",2022,"South Africa","46 years old",QLD,"Temporary Skills Shortage (482) Visa","Construction worker (including painter, other labourer)"
